"source_term","target_term","type","part_of_speech","context","definition","status","evidence_type","verification_source","first_use_gloss","usage_rule","notes"
"《小学》","Elementary Learning","classical_text","book title","CH01-P015; CH01-P018; CH01-P023","Classical text title, distinct from the ordinary noun 小学","locked","approved established classical-text title","Project-approved classical-text research record","","Use italicized Elementary Learning only when source punctuation and context identify the classical work; ordinary 小学 / 小学阶段 requires primary school / primary-school level.","Never perform blind global string replacement; CH01-P015 contains both senses."
"《大学》","The Great Learning","classical_text","book title","CH01-P015; CH01-P016; CH01-P018; CH01-P023","Confucian classical text","locked","established English philosophical / academic title","Project-approved academic-source review","","Italicize as a book title in English prose.","Keep the title distinct from generic university/college usage."
"《通鉴节要》","Tongjian Jieyao","classical_text","book title","CH01-P018","Classical historical text","locked","established scholarly romanization","Project-approved scholarly-source review","","Italicize the romanized master title.","Do not claim an authoritative translated English title. Any later descriptive gloss must be labelled as a project editorial gloss."
"《通鉴纲目》","Zizhi Tongjian Gangmu","classical_text","book title","CH01-P018","Classical historical text","locked","established scholarly romanization","Project-approved scholarly-source review","","Italicize the romanized master title.","Do not lock a variable long descriptive rendering as a universally canonical English title."
"朝鲜时代","Joseon period","historical_term","historical period term","CH01-P018","Historical-cultural period reference","locked","approved historical-cultural period terminology","Project-approved historical terminology review","","Preferred Chapter 1 phrase: scholars of the Joseon period.","Do not globally replace every future occurrence of 朝鲜 with Joseon."
"朝鲜末期","late Joseon period","historical_term","historical period term","CH01-P019","Late-period historical reference in the frozen source","locked","approved historical period terminology","Project-approved historical terminology review","","Preserve and faithfully translate footnote FB-F003.","Do not silently fact-correct the broad source date range; terminology and factual-source policy remain separate."
"甲申政变","Gapsin Coup","historical_term","historical event name","CH01-P019","Korean historical event","locked","established English-language Korean-history usage","https://dh.aks.ac.kr/Edu/wiki/index.php/GGHS_2019_Winter_-_Team_5","","Use the locked event name without automatically adding 1884.","Add a date only if present in the source or approved by a later editorial decision."
"鸿儒","eminent Confucian scholar","cultural_concept","noun phrase","CH01-P006","Elevated description of a highly learned scholar in a Confucian context","locked","human-approved cultural concept translation decision","Stage 5A.6 human approval consolidation","","Use eminent Confucian scholar for the Chapter 1 occurrence.","Do not reduce the term to ordinary scholar or remove the Confucian context."
"地主","landowner","title_role","context-sensitive noun","CH01-P005; CH01-P006","Person or family characterized by landownership","locked","human-approved context-sensitive translation decision","Stage 5A.6 human approval consolidation","","Person: landowner. Family: landowning family.","Landlord is forbidden for these Chapter 1 occurrences."
"私塾","seodang","cultural_institution","noun","CH01-P006; CH01-P007; CH01-P013; CH01-P015; CH01-P016; CH01-P024","Korean historical education institution","locked","human-approved Korean historical institution translation decision","Stage 5A.6 human approval consolidation","a traditional Korean village school known as a seodang","First occurrence: a traditional Korean village school known as a seodang. Later occurrences: seodang.","Do not use private school."
"仁、和、乐","humaneness (ren), harmony (he), and joy (le)","cultural_concept","coordinated philosophical concepts","CH01-P025; CH01-P026","Three Confucian concepts presented as a connected spiritual or philosophical realm","locked","human-approved Confucian concept translation decision","Stage 5A.6 human approval consolidation","humaneness (ren), harmony (he), and joy (le)","First occurrence uses the approved gloss-plus-transliteration form. Later occurrences use humaneness, harmony, and joy.","Do not translate mechanically as kindness, peace, and happiness."
"致知在格物","the investigation of things and the extension of knowledge","philosophical_term","quoted philosophical phrase","CH01-P022","Confucian philosophical formulation in the frozen Chapter 1 quotation","locked","human-approved Confucian philosophical-term translation","Stage 5A.6 human approval consolidation","","Use exactly: the investigation of things and the extension of knowledge.","Do not reorder or simplify the approved English. Do not modify the frozen Chinese wording."
"有志者事竟成","Where there is a will, there is a way.","proverb_quotation","proverb","CH01-P022","Traditional saying rendered through an intentional conventional English equivalent","locked","human-approved conventional proverb substitution","Stage 5A.6 human approval consolidation","","Use the approved conventional English proverb exactly and retain the substitution decision in QA.","The English idiomatic proverb is intentionally used instead of a literal project rendering."
"文山亭书院","Munsanjeong, a seodang","historical_institution","proper noun with contextual appositive","CH01-P014","Named pavilion/place used as a traditional Korean seodang","locked","human-approved project rendering based on official Korean local-government usage and historical research","Stage 5A.7 human approval; https://www.uiryeong.go.kr/tour/board/view.uiryeong?boardId=BBS_0000464&dataSid=10674662&menuCd=DOM_000000305002002000&orderBy=REGISTER_DATE+DESC&paging=ok&startPage=1 | https://journal.kci.go.kr/kukmun/archive/articlePdf?artiId=ART002469257","Contextual option only when supported by the source sentence: Munsanjeong, a seodang founded by his grandfather","Use Munsanjeong, a seodang as the glossary term. Later references may use Munsanjeong or seodang according to context.","Do not translate as Academy. Do not encode explanatory facts into the glossary term itself. Munsanjeong is a project romanization, not an established official English name."
"朝鲜","context-sensitive: Joseon period / Joseon Dynasty / Korean people / Korean Peninsula / Korea / Korean","place","context-sensitive historical/geographic term","CH01-P018; CH01-P019","Historical, geographic, national, or adjectival reference whose English form depends on sentence meaning","locked","human-approved context-sensitive rule supported by official Korean museum usage","Stage 5A.7 human approval; https://www.museum.go.kr/ENG/contents/E0201080100.do?schM=list&showHallId=757&showroomCode=DM0074 | https://online.gogung.go.kr/gogungEn/main/contents.do?menuNo=1000019","","朝鲜时代 = Joseon period; 朝鲜王朝 = Joseon Dynasty; 朝鲜人 = Korean people; 朝鲜半岛 = Korean Peninsula; general country/geographic context = Korea or Korean according to sentence meaning.","No blind replacement. Existing locked Joseon period and late Joseon period decisions remain unchanged; resolve standalone occurrences at sentence level."
"石","seok","unit","historical grain measure","CH01-P005","Traditional Korean grain measure used for harvest quantities","locked","human-approved historical unit transliteration","Stage 5C.1 human decision","seok (a traditional Korean grain measure)","First occurrence: seok (a traditional Korean grain measure). Later occurrences: seok.","Do not translate as stone or convert to modern weight units; preserve the source quantities."
"商界三大神话","the three great myths of Korean business","other","authorial noun phrase","CH01-P001; CH01-P010","Authorial expression referring to three widely known business narratives","locked","human-approved project-specific translation decision","Stage 5C.1 human decision","","Use the locked project rendering exactly when the source expression occurs.","Do not translate as mythology, miracles, or legends. The repeated source prose remains preserved."
"纽约的美国银行","an American bank in New York","historical_financial_reference","descriptive noun phrase","CH02-P011","Source description of an unspecified American bank in New York","locked","human-approved descriptive contextual rendering","qa/chapter_02_terminology_decision.md (D04; C2-T020)","","Use only as a descriptive phrase in CH02-P011; do not identify a specific bank.","This lock does not assert a master institutional identity."
"澳大利亚中央银行","Australia's central bank","historical_financial_reference","descriptive noun phrase","CH02-P012","Source description of Australia's central bank in the historical context","locked","human-approved historical contextual rendering","qa/chapter_02_terminology_decision.md (D05; C2-T022)","","Use Australia's central bank in CH02-P012.","Do not use Reserve Bank of Australia for this historical context; preserve the source claim under the project-wide discrepancy policy."
"世界性经济大恐慌","the Great Depression","historical_event","proper noun","CH02-P002; CH02-P042","Worldwide economic depression beginning in the source's 1929 context","locked","human-approved established historical-event rendering","qa/chapter_02_terminology_decision.md (D07; C2-T023)","","Use the Great Depression for this source term.","Keep separate from 世界金融危机 / the global financial crisis."
"世界金融危机","the global financial crisis","historical_event","contextual noun phrase","CH02-P014","Global financial crisis referenced in the source's historical narrative","locked","human-approved distinct historical-context rendering","qa/chapter_02_terminology_decision.md (D07; C2-T024)","","Use the global financial crisis for CH02-P014.","Do not collapse this term into 世界性经济大恐慌 / the Great Depression."
"朝鲜","a Korean","context_sensitive_occurrence_rule","noun phrase","CH02-P005","Colonial-period reference to a person in reported discriminatory speech","locked","human-approved occurrence-level contextual rendering","qa/chapter_02_terminology_decision.md (D02; C2-T027)","","Apply only at CH02-P005; do not use as a global replacement for 朝鲜.","Preserve the source context without adding editorial amplification."
"朝鲜","Korea at the time","context_sensitive_occurrence_rule","proper noun phrase","CH02-P006","Historical country and political context","locked","human-approved occurrence-level contextual rendering","qa/chapter_02_terminology_decision.md (D02; C2-T027)","","Apply only at CH02-P006; do not use as a global replacement for 朝鲜.","Do not silently add historical explanation beyond the source sentence."
"朝鲜","North Korea","context_sensitive_occurrence_rule","proper noun","CH02-P050","Geographic destination in the source's 1998 cattle-delivery context","locked","human-approved occurrence-level contextual rendering","qa/chapter_02_terminology_decision.md (D02; C2-T027)","","Apply only at CH02-P050; do not use as a global replacement for 朝鲜.","This occurrence-level rule does not modify Chapter 1 朝鲜 rules or the restored Chapter 2 footnote."
"亡国奴","the misery of a people deprived of their country","colonial_historical_expression","noun phrase","CH02-P005","Emotionally charged description of colonial dispossession in the source narrative","locked","human-approved contextual translation decision","qa/chapter_02_terminology_decision.md (D10; C2-T028)","","Use the approved phrase in CH02-P005.","Preserve the source's historical and emotional force; do not substitute a misleading literal label."
"四无国家","a “four-withouts” country","authorial_historical_phrase","noun phrase","CH02-P006","Authorial label defined by the source as lacking a country, sovereignty, enterprises, and wealthy people","locked","human-approved authorial-phrase translation decision","qa/chapter_02_terminology_decision.md (D11; C2-T029)","a “four-withouts” country—without a country, sovereignty, enterprises, or wealthy people","Explain the four source-defined missing elements at first occurrence.","Do not add an external political interpretation; preserve the source's own enumeration."
"左翼思想","leftist thought","political_concept","noun phrase","CH02-P017","Political-intellectual concept in the source's historical context","locked","human-approved political-term rendering","qa/chapter_02_terminology_decision.md (D12; C2-T030)","","Use leftist thought for CH02-P017.","Keep distinct from 无产阶级思想 / proletarian ideology."
"无产阶级思想","proletarian ideology","political_concept","noun phrase","CH02-P018","Political ideology associated in the source with Marx and Engels","locked","human-approved political-term rendering","qa/chapter_02_terminology_decision.md (D12; C2-T031)","","Use proletarian ideology for CH02-P018.","Keep distinct from 左翼思想 / leftist thought."
"北间岛","northern Gando","historical_place","proper noun","CH02-P025","Historical geographic name in the migration context","locked","human-approved historical geographic rendering","qa/chapter_02_terminology_decision.md (D08; C2-T033)","","Use northern Gando in CH02-P025.","Retain the restored FB-F004 source footnote and its traceability."
"安边","Anbyon","place","proper noun","CH02-P046","Historical place name in the source journey narrative","locked","human-approved non-diacritic place-name form","qa/chapter_02_terminology_decision.md (D09; C2-T035)","","Use Anbyon in CH02-P046.","Retain the restored FB-F006 source footnote and its traceability."
"角、分（仅限完整金额表达）","sen-based rendering","historical_currency_policy","amount-level rule","CH02-P032","Historical monetary amounts expressed with 角 and 分 in the colonial-period Japanese-yen context","locked","human-approved coordinated historical-currency policy","qa/chapter_02_terminology_decision.md (D03; C2-T043 and C2-T044)","sen, a subdivision of the Japanese yen used during the colonial period","Render only complete amounts in sen: 4角5分钱 → 45 sen; 3角2分 → 32 sen; 1角3分钱 → 13 sen; 一分钱 → 1 sen.","Do not create independent replacements 角 = sen or 分 = sen. Do not convert to modern currency. Add the approved first-use translator/editor note."
"清津","Chongjin","place","proper noun","CH02-P030; CH02-P031; FB-F005","Port city referenced in the Chapter 2 journey narrative and source footnote","locked","human-approved established English place name","qa/chapter_02_remaining_terminology_decision.md (C2-RD10); United Nations usage","","Use Chongjin for the approved occurrences.","This place-name lock does not resolve the separate formal-country-name wording in FB-F005."
"金刚山","Mount Kumgang","place","proper noun","CH02-P035","Mountain destination in the Chapter 2 runaway narrative","locked","human-approved established English place name","qa/chapter_02_remaining_terminology_decision.md (C2-RD10); UNESCO usage","","Use Mount Kumgang.",""
"仁川","Incheon","place","proper noun","CH02-P039; CH02-P056","Port city in Chung Ju-yung's biographical narrative","locked","human-approved official English place name","qa/chapter_02_remaining_terminology_decision.md (C2-RD10); Incheon Metropolitan City usage","","Use Incheon.",""
"首尔","Seoul","place","proper noun","CH02-P037; CH02-P039; CH02-P053","City in Chung Ju-yung's biographical narrative","locked","human-approved official English place name","qa/chapter_02_remaining_terminology_decision.md (C2-RD10); Seoul Metropolitan Government usage","","Use Seoul.",""
"咸镜北道","North Hamgyong Province","place","proper noun","FB-F005; FB-F006","Administrative division named in restored Chapter 2 source footnotes","locked","human-approved authoritative English geographic form","qa/chapter_02_remaining_terminology_decision.md (C2-RD10); United Nations usage","","Use North Hamgyong Province in the approved footnote contexts.","Keep footnote IDs and source-to-note mapping unchanged."
"底特律","Detroit","place","proper noun","CH02-P078","City in the Henry Ford biographical narrative","locked","human-approved established English place name","qa/chapter_02_remaining_terminology_decision.md (C2-RD10); Ford official history","","Use Detroit.",""
"“龟船”图案的纸币","a banknote bearing an image of a turtle ship","historical_cultural_object","noun phrase","CH02-P064","Source description of the banknote used in the authorial business narrative","locked","human-approved contextual rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD11)","","Use exactly as a contextual descriptive phrase.","Do not expand the narrative. No translator/editor note is required."
"“学校会使人变傻。”","“School makes people stupid.”","attributed_quotation","quotation","CH02-P083","Quotation attributed by the source to Cho Chikun","locked","human-approved source-attributed quotation rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD12)","","Preserve as a source-attributed quotation.","Do not add verification warnings or claim independent verification."
"300里","300 ri","historical_distance_expression","amount phrase","CH02-P046","Source distance retained in a traditional East Asian unit","locked","human-approved contextual unit rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD13)","ri, a traditional East Asian distance unit whose length varied historically","Use 300 ri at CH02-P046 and add the approved concise first-use note.","Do not convert to kilometers and do not create a blind conversion rule for other values."
"万物灵长","human beings, the highest of all creatures","cultural_philosophical_expression","noun phrase","CH02-P060","Traditional human-versus-other-creatures expression in an authorial rhetorical question","locked","human-approved natural contextual rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD14)","","Use the approved phrase as part of the natural English sentence.","Preserve the source's rhetorical contrast."
"不孝","unfilial act","cultural_concept","noun phrase","CH02-P053","Confucian family-duty concept in Chung Ju-yung's reflection","locked","human-approved contextual cultural rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD15)","","Use unfilial act in the approved Chapter 2 context.","Preserve the Confucian cultural meaning."
"问题少年","a troubled youth","social_label","noun phrase","CH02-P038","Authorial social label explicitly questioned and rejected in the paragraph","locked","human-approved contextual rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD16)","","Use a troubled youth.","Avoid legal implications such as juvenile delinquent."
"日本汽车之王","Japan’s automotive king","epithet_title_role","noun phrase","CH02-P079","Authorial rhetorical epithet for the source-identified Toyota figure","locked","human-approved rhetorical rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD17)","","Use Japan’s automotive king while preserving the author's rhetorical tone.","Do not present this as an official title."
"财务学院速成班 / 首尔财务学院","a local bookkeeping school","historical_educational_description","noun phrase","CH02-P037; CH02-P053","Descriptive reference to an unverified historical educational institution","locked","human-approved descriptive institutional treatment","qa/chapter_02_remaining_terminology_decision.md (C2-RD18; C2-T047)","","Use a local bookkeeping school as a lowercase descriptive phrase in the approved Chapter 2 contexts.","Do not invent a formal institutional name, capitalize it as an official academy, or use Seoul Finance Academy."
"朝鲜民主主义人民共和国","Democratic People's Republic of Korea","formal_country_name","proper noun","FB-F005","Formal country name appearing only in the restored Chapter 2 source footnote","locked","human-approved footnote-only formal country-name rendering","qa/chapter_02_remaining_terminology_decision.md (C2-RD19; C2-T049)","","Use only in FB-F005.","Do not create a global replacement rule for standalone 朝鲜. Existing occurrence-level historical and geographic rules remain unchanged."
"经营学博士学位","doctorate in business administration","degree_credential","noun phrase","CH02-P070","Academic credential phrase in the Chapter 2 biographical narrative","locked","human-approved credential rendering carried forward for cross-chapter consistency","qa/chapter_02_remaining_terminology_decision.md (C2-RD20; C2-T057)","","Use only for this credential context.","Do not infer, expand, or rewrite any other academic qualification."
"关东大地震","the Great Kanto Earthquake","historical_event","proper noun","CH02-P014","The 1923 earthquake referenced in the Chapter 2 historical narrative","locked","project-lead approved established historical-event English form","qa/chapter_02_final_terminology_decision.md (C2-T025); qa/chapter_02_terminology_verification.md","","Use the Great Kanto Earthquake in the approved Chapter 2 context.","Do not alter surrounding source claims."
"九一八事变","the Mukden Incident","historical_event","proper noun","CH02-P018","The 1931 incident referenced in the Chapter 2 historical narrative","locked","project-lead approved established historical-event English form","qa/chapter_02_final_terminology_decision.md (C2-T026); qa/chapter_02_terminology_verification.md","","Use the Mukden Incident in the approved Chapter 2 context.","Do not alter surrounding source claims."
"满洲国","“Manchukuo”","historical_state","proper noun","CH02-P025","Source-designated historical state term","locked","project-lead approved established historical English form","qa/chapter_02_final_terminology_decision.md (C2-T032); qa/chapter_02_terminology_verification.md","","Preserve quotation marks around Manchukuo.","Do not rewrite or historically correct the source narrative."
"下关","Shimonoseki","place","proper noun","CH02-P004; CH02-P008","Japanese port city in the Chapter 2 travel narrative","locked","project-lead approved official municipal English form","qa/chapter_02_final_terminology_decision.md (C2-T038); qa/chapter_02_terminology_verification.md","","Use Shimonoseki in the approved Chapter 2 occurrences.",""
"玄海滩","Genkai Sea","place","proper noun","CH02-P005","Sea area in the Chapter 2 travel narrative","locked","project-lead approved government English usage","qa/chapter_02_final_terminology_decision.md (C2-T039); qa/chapter_02_terminology_verification.md","","Use Genkai Sea in the approved Chapter 2 occurrence.",""
"《泥土》","The Soil","literary_work","book title","CH02-P028; CH02-P029","Novel referenced in the Chapter 2 narrative","locked","project-lead approved established English publication title","qa/chapter_02_final_terminology_decision.md (C2-T040); qa/chapter_02_terminology_verification.md","","Italicize as a book title in English prose.",""
"《哪怕是大学毕业》","I Graduated, But...","film","film title","CH02-P015","Film referenced in the Chapter 2 historical narrative","locked","project-lead approved established English film title","qa/chapter_02_final_terminology_decision.md (C2-T041); qa/chapter_02_terminology_verification.md","","Italicize as a film title in English prose.",""
"《东亚日报》","The Dong-A Ilbo","publication","publication title","CH02-P028","Newspaper referenced in the Chapter 2 narrative","locked","project-lead approved official publication English title","qa/chapter_02_final_terminology_decision.md (C2-T042); qa/chapter_02_terminology_verification.md","","Italicize as a publication title in English prose.","Preserve the hyphen in Dong-A."
"韩国","Korea / Korean according to syntax","place","proper noun or adjective","CH03-P009; CH03-P015; CH03-P029; CH03-P046; CH03-P068; FB-F007–FB-F009","Country or national adjective in Chapter 3 context","locked","project-lead approved context-sensitive conventional form","qa/chapter_03_terminology_decision.md (C3-T040)","","Select Korea or Korean according to sentence grammar.","Do not apply a blind global replacement or override separately controlled historical terms."
"中国","China","place","proper noun","CH03-P015","Country name","locked","project-lead approved conventional English form","qa/chapter_03_terminology_decision.md (C3-T041)","","Use China.",""
"富川","Bucheon","place","proper noun","CH03-P018","Korean place name","locked","project-lead approved geographic form","qa/chapter_03_terminology_decision.md (C3-T042)","","Use Bucheon.",""
"新堂洞","Sindang-dong","place","proper noun","CH03-P014","Seoul neighborhood","locked","project-lead approved geographic form","qa/chapter_03_terminology_decision.md (C3-T043)","","Use Sindang-dong.",""
"弘济洞","Hongje-dong","place","proper noun","CH03-P014","Seoul neighborhood","locked","project-lead approved geographic form","qa/chapter_03_terminology_decision.md (C3-T044)","","Use Hongje-dong.",""
"大邱","Daegu","place","proper noun","CH03-P024; CH03-P056","Korean city","locked","project-lead approved conventional English form","qa/chapter_03_terminology_decision.md (C3-T045)","","Use Daegu.",""
"釜山","Busan","place","proper noun","CH03-P024; CH03-P056","Korean city","locked","project-lead approved conventional English form","qa/chapter_03_terminology_decision.md (C3-T046)","","Use Busan.",""
"平壤","Pyongyang","place","proper noun","CH03-P024","Korean city in historical context","locked","project-lead approved conventional English form","qa/chapter_03_terminology_decision.md (C3-T047)","","Use Pyongyang.",""
"马山 / 北马山","Masan / northern Masan","place","proper noun or descriptive subarea","CH03-P025; CH03-P026; CH03-P028; CH03-P030; CH03-P035–CH03-P037; CH03-P040","Historical city and its northern area","locked","project-lead approved occurrence-level geographic forms","qa/chapter_03_terminology_decision.md (C3-T048)","","马山 = Masan; 北马山 = northern Masan.","Do not promote northern Masan to a verified official locality name unless separate evidence establishes one."
"金海 / 金海平原","Gimhae / Gimhae Plain","place","proper noun","CH03-P038; CH03-P041","Korean place and geographic plain","locked","project-lead approved occurrence-level geographic forms","qa/chapter_03_terminology_decision.md (C3-T049)","","金海 = Gimhae; 金海平原 = Gimhae Plain.",""
"柏林奥运会","the 1936 Berlin Olympics","historical_event","proper noun","CH03-P009","Olympic Games referenced in the source's 1936 context","locked","project-lead approved established historical-event form","qa/chapter_03_terminology_decision.md (C3-T050)","","Use the 1936 Berlin Olympics.","Preserve the source description and do not add representation facts absent from it."
"卢沟桥事变","the Marco Polo Bridge Incident","historical_event","proper noun","CH03-P015","1937 historical event spanning FB-P027 and FB-P028","locked","project-lead approved established historical-event form","qa/chapter_03_terminology_decision.md (C3-T051)","","Use the Marco Polo Bridge Incident.","Preserve the inline page boundary inside the Chinese source mapping."
"中日战争","the Second Sino-Japanese War","historical_event","proper noun","CH03-P017; CH03-P044; CH03-P045; CH03-P051; CH03-P056","War beginning in 1937 in the Chapter 3 occurrences","locked","project-lead approved established historical-event form","qa/chapter_03_terminology_decision.md (C3-T052)","","Apply only to Chapter 3 occurrences referring to the war beginning in 1937.",""
"战时体制令","the “wartime system” decree","historical_policy","descriptive noun phrase","CH03-P015","Source-described wartime decree","locked","project-lead approved descriptive source rendering","qa/chapter_03_terminology_decision.md (C3-T053)","","Use lower case and preserve the source's quotation treatment.","Do not capitalize or describe it as a verified official English title."
"谷米统制","the “rice control” measures","historical_policy","descriptive noun phrase","CH03-P015","Source-described rice-control measures","locked","project-lead approved descriptive historical rendering","qa/chapter_03_terminology_decision.md (C3-T054)","","Use lower case and preserve the source's quotation treatment.","Do not claim a verified official English policy title."
"日本帝国主义","Japanese imperialism","political_historical_concept","noun phrase","CH03-P038; CH03-P052","Authorial political-historical characterization","locked","project-lead approved register-preserving rendering","qa/chapter_03_terminology_decision.md (C3-T055)","","Use Japanese imperialism.","Preserve the author's register."
"5·16军事革命","the May 16 Military Revolution","historical_event_source_characterization","proper noun","CH03-P068","Source characterization of the 16 May 1961 seizure of power","locked","project-lead approved source-preserving form with discrepancy note","qa/chapter_03_terminology_decision.md (C3-T056)","","Use the May 16 Military Revolution in the main text; do not silently substitute the May 16 coup.","Mandatory TN-CH03-005: The source calls the 16 May 1961 seizure of power a “Military Revolution.” It is more commonly described in English-language historical references as the May 16 coup."
"新军部","Chun Doo-hwan's new military group","political_military_group","descriptive noun phrase","CH03-P051","Source-described military group","locked","project-lead approved descriptive lower-case form","qa/chapter_03_terminology_decision.md (C3-T057)","","Use Chun Doo-hwan's new military group.","Do not invent or imply an official organization name."
"企业调整 / 化学重工业的合并调整","corporate restructuring / the consolidation of heavy and chemical industries","historical_economic_policy","context-sensitive noun phrase","CH03-P051","1980 restructuring and source-described consolidation","locked","project-lead approved occurrence-level forms with discrepancy note","qa/chapter_03_terminology_decision.md (C3-T058)","","企业调整 = corporate restructuring; 化学重工业的合并调整 = the consolidation of heavy and chemical industries.","Preserve the source account. Mandatory TN-CH03-004: The source characterizes the 1980 restructuring as essentially an exchange between Daewoo Motor and Hyundai Heavy Industries. Korean National Archives records describe a broader series of heavy and chemical industry investment-adjustment measures covering automobiles, power-generation equipment, heavy electrical equipment, diesel engines, electronic switching equipment, copper smelting, and other sectors."
"韩国肥料事件","the Korea Fertilizer incident","historical_event","proper noun","CH03-P068","1966 incident involving Korea Fertilizer Industries","locked","project-lead approved event form with historical clarification","qa/chapter_03_terminology_decision.md (C3-T059)","","Use the Korea Fertilizer incident and keep it distinct from the company name Korea Fertilizer Industries.","Mandatory TN-CH03-006: The source's “Korea Fertilizer incident” refers to the 1966 saccharin-smuggling scandal involving Korea Fertilizer Industries. Historical records show that Lee Byung-chull subsequently announced the transfer of his controlling shareholding and management rights to the government; the process was not a simple one-step handover of a factory."
"《大地》","The Good Earth","literary_work","book title","CH03-P013","Pearl S. Buck novel","locked","project-lead approved established English title","qa/chapter_03_terminology_decision.md (C3-T060)","","Italicize as a book title.",""
"《常绿树》","Evergreen Tree","literary_work","book title","CH03-P013","Sim Hun work","locked","project-lead approved English title","qa/chapter_03_terminology_decision.md (C3-T061)","","Italicize as a book title.","Sangnoksu is a metadata alias; do not put it in main prose unless context requires it."
"面","myeon","historical_administrative_unit","noun","CH03-P021; FB-F008","Korean administrative unit described by the source footnote","locked","project-lead approved retained Korean unit","qa/chapter_03_terminology_decision.md (C3-T062)","","Use myeon and preserve FB-F008.","Do not translate as a generic English noun or silently modernize the hierarchy stated in the source footnote."
"坪","pyeong","historical_area_unit","noun","CH03-P038; CH03-P041; CH03-P052; CH03-P056; FB-F009","Historical Korean land-area unit","locked","project-lead approved retained Korean unit","qa/chapter_03_terminology_decision.md (C3-T063)","","Use pyeong; preserve every source quantity and FB-F009 exactly.","Do not convert to square metres or silently correct the repeated wording, formula, punctuation, or date in the source footnote."
"元（Chapter 3 1930s business amounts）","yen","historical_currency_policy","complete amount expression","CH03-P030; CH03-P034; CH03-P052","Korean yen amounts under Japanese colonial rule","locked","project-lead approved historical-context currency decision","qa/chapter_03_terminology_decision.md (C3-T064)","The amounts are retained as stated in the source. Korea under Japanese rule used the Korean yen, issued by the Bank of Chosen; no modern currency conversion is attempted.","Use yen only for the approved Chapter 3 historical amounts; later occurrences use yen without repeating the note.","Mandatory first-use note TN-CH03-003. Do not use yuan, modern South Korean won, or KRW, and do not convert the amounts."
"歌妓","gisaeng","cultural_professional_role","noun","CH03-P037","Historical Korean professional female entertainers","locked","project-lead approved retained Korean cultural term","qa/chapter_03_terminology_decision.md (C3-T065)","gisaeng (professional female entertainers)","Use the explanatory form at first occurrence and gisaeng later.","Do not translate as prostitutes or eroticize or expand the role beyond the source."
