source_page_id,part,local_page_idx,input_pdf_page,status,json_anchor_block,anchor_text,markdown_offset
FB-P071,part_001_200,70,71,mapped,0:title,从平凡走向辉煌,40658
FB-P072,part_001_200,71,72,mapped,1:text,是说损失额达到这个数字的三倍。,41350
FB-P073,part_001_200,72,73,mapped,0:title,从平凡走向辉煌,42003
FB-P074,part_001_200,73,74,mapped,0:title,先发制人和后发制人,42326
FB-P075,part_001_200,74,75,mapped,0:title,从平凡走向辉煌,42841
FB-P076,part_001_200,75,76,mapped,3:text,由于这是第一次不分学校学历，也不论出身地区的人才选拔考试，所以聚集了全国各地充满自信的大批人才。,43517
FB-P077,part_001_200,76,77,mapped,0:title,从平凡走向辉煌,44122
FB-P078,part_001_200,77,78,mapped,1:text,李秉哲 “人才第一” 的经营理念完全被他的儿子李健熙继承了。,44743
FB-P079,part_001_200,78,79,mapped,0:title,从平凡走向辉煌,45385
FB-P080,part_001_200,79,80,mapped,2:text,在这一点现代和三星是截然不同的。,46106
FB-P081,part_001_200,80,81,mapped,0:title,从平凡走向辉煌,46707
FB-P082,part_001_200,81,82,mapped,1:text,私下里和三星的职员交谈，他们表现出对自己的职业满意程度是相当高的，都认为这是一个非常好的公司。,47422
FB-P083,part_001_200,82,83,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,47804
FB-P084,part_001_200,83,84,mapped,0:title,10 汉江大桥和东京构想,47804
FB-P085,part_001_200,84,85,mapped,0:title,从平凡走向辉煌,48353
FB-P086,part_001_200,85,86,mapped,2:text,当出了新产品之后，美国第八军就会把原来的旧设备低价处理掉。,49088
FB-P087,part_001_200,86,87,mapped,2:text,位于东京中心的帝国饭店，无论是当时还是现在，都是和大仓饭店、新大谷大饭店并列，堪称最高级的饭店。,49723
FB-P088,part_001_200,87,88,mapped,2:text,每年年初，电视台或报纸上都会刊登经济的预期和信息。,50382
FB-P089,part_001_200,88,89,mapped,0:title,从平凡走向辉煌,50998
FB-P090,part_001_200,89,90,mapped,1:text,功的说法，实际上并非如此。,51690
FB-P091,part_001_200,90,91,mapped,0:text,"The OCR result should be empty, as the image contains only a stylistic horizonta",51926
FB-P092,part_001_200,91,92,mapped,0:title,11 权利面前的两个人,52110
FB-P093,part_001_200,92,93,mapped,0:title,从平凡走向辉煌,52542
FB-P094,part_001_200,93,94,mapped,2:text,第二天，李秉哲到了国家重建最高委员会的副议长办公室，见到了朴正熙。房间里弥漫着森严的气氛。朴副议长①给人的第一印象是非常刚直。,53222
FB-P095,part_001_200,94,95,mapped,2:text,在李秉哲看来，不是根据是否偷税漏税，挪用公款而定罪，却根据企业的排名，把第一到第十一的加上非法敛财的罪名这是非常可笑的。这一下子就指出了军政府政策的软肋。,53816
FB-P096,part_001_200,95,96,mapped,1:text,也就是说，把金字中的大宇汽车和现代集团的昌原①重工业对调。在资本主义国家，企业双方存在买入售出企业的情况，可是绝没有由国家出面命令企业重组。,54419
FB-P097,part_001_200,96,97,mapped,0:text,从平凡走向辉煌,54991
FB-P098,part_001_200,97,98,mapped,0:title,12 开办工厂和对外出口,55471
FB-P099,part_001_200,98,99,mapped,0:title,从平凡走向辉煌,55979
FB-P100,part_001_200,99,100,mapped,2:text,正当军政府面对韩国的经济束手无策的时候，李秉哲这位新任韩国经济人联合会会长决心为韩国经济的发展寻找到方向和突破口。,56788
FB-P101,part_001_200,100,101,mapped,0:title,从平凡走向辉煌,57396
FB-P102,part_001_200,101,102,mapped,1:text,完备的担保制度。,58128
FB-P103,part_001_200,102,103,mapped,0:title,从平凡走向辉煌,58800
FB-P104,part_001_200,103,104,mapped,2:text,终于，三个月之后的5月11日，以前驻韩联合国军司令范弗利特将军为团长的“美国知名实业家访问团”一行28人抵达金浦机场。,59571
FB-P105,part_001_200,104,105,mapped,0:title,从平凡走向辉煌,60267
FB-P106,part_001_200,105,106,mapped,3:text,“一定要遵守合同。不管有什么样的困难，都一定要在规定的期限内完成工程，这是我们要对泰国政府尽的义务！”,60979
FB-P107,part_001_200,106,107,mapped,0:title,从平凡走向辉煌,61670
FB-P108,part_001_200,107,108,mapped,3:text,1965 年他进入公司，10 年之后便从一名基层的职员升到了社长。,62332
FB-P109,part_001_200,108,109,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,62708
FB-P110,part_001_200,109,110,mapped,0:title,13 越战工程和韩国肥料公司,62708
FB-P111,part_001_200,110,111,mapped,0:text,“多么美好的早晨，让我们前行。”收音机里传出这样的歌声。,63157
FB-P112,part_001_200,111,112,mapped,2:text,郑周永的现代最开始接的工程是金兰湾美军基地的清淤工程。金兰湾是面向南中国海的一个天然良港，是美军供给物资的战略要地。,63736
FB-P113,part_001_200,112,113,mapped,0:title,从平凡走向辉煌,64430
FB-P114,part_001_200,113,114,mapped,3:text,他一直希望建立世界级水平的肥料工厂，苦于没有资金。仔细询问过那个计划之后得知：提供的并非援助资金，而是民间提供的商业贷款，如果计划合理就可以获得长期的低息贷款。,65142
FB-P115,part_001_200,114,115,mapped,0:text,从平凡走向辉煌,65717
FB-P116,part_001_200,115,116,mapped,2:text,与联邦德国和意大利的协作出人意料的顺利。贷款的相关手续进行地非常简单顺利。李秉哲在意大利进行几天的观光。就在那时，得到了一个令人震惊的消息。韩国国内发生了4·1,66411
FB-P117,part_001_200,116,117,mapped,1:text,料共同投资体，重访日本和欧洲，以争取投资。,67087
FB-P118,part_001_200,117,118,mapped,1:text,当时日本最大规模的肥料工厂为年产18万吨，其余的一般都是5万~6万吨，乃至10万吨。李秉哲要建年产30万吨工厂的消息让他们感受到了莫大的压力。,67719
FB-P119,part_001_200,118,119,mapped,0:title,从平凡走向辉煌,68451
FB-P120,part_001_200,119,120,mapped,0:title,14 Pony（小马）汽车和东洋电视台,69085
FB-P121,part_001_200,120,121,mapped,0:text,从平凡走向辉煌,69539
FB-P122,part_001_200,121,122,mapped,4:text,1966 年，韩国汽车的国产率是 21%，除了轮胎和电池外，都是些小部件。当时韩国几乎不具备生产汽车零部件的能力。,70575
FB-P123,part_001_200,122,123,mapped,2:text,福特方面到韩国的第二天就和现代汽车签署了技术支持协议，当时的合资比例是现代占21%，福特占79%。郑周永随后在蔚山开始建设现代汽车厂。,71098
FB-P124,part_001_200,123,124,mapped,2:text,发动机是汽车最主要的组成部分，生产发动机是和生产汽车紧密相联系的。福特不可能传授生产发动机的技术秘密。现代和福特就开办发动机工厂问题坐到了谈判桌前，谈判气氛非常,71673
FB-P125,part_001_200,124,125,mapped,0:title,从平凡走向辉煌,72386
FB-P126,part_001_200,125,126,mapped,1:text,郑周永决心完全独资生产出自己的汽车，于1974年1月正式开始建厂，一座年产汽车5.6万辆的大规模汽车制造工厂。他完全投入到了国产车的开发中。,73136
FB-P127,part_001_200,126,127,mapped,0:title,从平凡走向辉煌,73971
FB-P128,part_001_200,127,128,mapped,2:text,朴总统一直很关心高速公路。1964年应联邦德国总统海因里希·吕布克的邀请，朴正熙总统访问联邦德国，曾经往返于波恩到科隆的20公里的奥图班（高速公路）。那时，朴总,74724
FB-P129,part_001_200,128,129,mapped,0:title,从平凡走向辉煌,75475
FB-P130,part_001_200,129,130,mapped,1:text,正熙总统非常信任他。,76242
FB-P131,part_001_200,130,131,mapped,2:text,郑周永做出了决定。这个时候不能再考虑公司是否有利润了，最重要的是尽快完成工程。只要是工程所需的设备，不问价格高低一律购进。一共购进了总值800万美元的重型装备。,76939
FB-P132,part_001_200,131,132,mapped,2:text,由此，韩国人的距离大大拉近。实现了在首尔吃过早餐，可以到釜山去吃午餐的神话。这对于那个年代的人来说本来是不可想像的一件事情。因为那之前从首尔到大田坐公共汽车还需,77704
FB-P133,part_001_200,132,133,mapped,1:text,首，晃动小国旗的经历。,78314
FB-P134,part_001_200,133,134,mapped,2:text,当郑周永在京釜高速公路为国家的建设奋斗的时候，李秉哲正在文化产业方面前进。,78991
FB-P135,part_001_200,134,135,mapped,0:text,"The OCR result should be empty, as the image contains only a stylistic horizonta",79213
FB-P136,part_001_200,135,136,mapped,1:title,郑周永的船和李秉哲的彩色电视,79397
FB-P137,part_001_200,136,137,mapped,0:title,从平凡走向辉煌,79912
FB-P138,part_001_200,137,138,mapped,2:text,聚集金钱最多的地方。,80594
FB-P139,part_001_200,138,139,mapped,0:title,从平凡走向辉煌,81253
FB-P140,part_001_200,139,140,mapped,2:text,英国出口信贷担保局总裁的这番话十分有道理。,81999
FB-P141,part_001_200,140,141,mapped,0:title,从平凡走向辉煌,82611
FB-P142,part_001_200,141,142,mapped,3:text,到了第二年的 1973 年，形势变得更好。世界造船业同前一年相比，订单增加了 2.5 倍。造船业的一个丰收年。,83383
FB-P143,part_001_200,142,143,mapped,0:title,从平凡走向辉煌,84007
FB-P144,part_001_200,143,144,mapped,2:text,如果是一般的人，中断了往来后不大可能再有联系，可是郑周永能够邀请尼亚尔霍斯访韩。郑周永不仅仅在事业上堪称巨人，在人际关系上也同样是一位巨人。,84768
FB-P145,part_001_200,144,145,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,84840
FB-P146,part_001_200,145,146,mapped,0:title,16 中东特运和三星电子,84840
FB-P147,part_001_200,146,147,mapped,0:title,从平凡走向辉煌,85250
FB-P148,part_001_200,147,148,mapped,3:text,决定之后，李秉哲前往日本。他想亲眼看看日本电子产业的情况。他在三洋电器会长井植岁男的陪同下前往东京的电子工业园区。井植岁男是堪称日本最大企业的松下集团会长松下幸,86030
FB-P149,part_001_200,148,149,mapped,0:title,从平凡走向辉煌,86670
FB-P150,part_001_200,149,150,mapped,1:text,政府方面，青瓦台的二号经济秘书官吴源哲向朴正熙总统汇报了电子产业振兴规划。那年的6月19日，政府颁布了扶植电子工业的8年规划。,87425
FB-P151,part_001_200,150,151,mapped,0:title,从平凡走向辉煌,88122
FB-P152,part_001_200,151,152,mapped,1:text,对于一滴石油也不产的韩国来说情况尤为严重。路上的路灯熄了，商店里的霓虹灯熄了。夜晚的大街漆黑一片。人们都是行色匆匆地回家，每家只点一盏灯。,88760
FB-P153,part_001_200,152,153,mapped,0:title,从平凡走向辉煌,89446
FB-P154,part_001_200,153,154,mapped,3:text,他开始进行人事调整。他把弟弟郑仁永派往军部新建的重型设备生产公司，之后他清除了所有反对进军中东的干部，重新组建班子。他本人亲自担任中东事务的总负责人，下面任命了,90279
FB-P155,part_001_200,154,155,mapped,2:text,工程的最大难点在于要在海底 30 米深的岩石上钻孔，然后在上面镶嵌安装好巨大的钢铁结构。竞标在七个月后。,90932
FB-P156,part_001_200,155,156,mapped,2:text,一职。,91497
FB-P157,part_001_200,156,157,mapped,0:title,从平凡走向辉煌,92172
FB-P158,part_001_200,157,158,mapped,1:text,“那不是危险了……”但已是覆水难收。能做的只是静静地等待。,92863
FB-P159,part_001_200,158,159,mapped,0:title,从平凡走向辉煌,93507
FB-P160,part_001_200,159,160,mapped,2:text,组成船队拉着钢铁部件走。,94272
FB-P161,part_001_200,160,161,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,95030
FB-P162,part_001_200,161,162,mapped,0:title,17 先想后做和先做后想,95030
FB-P163,part_001_200,162,163,mapped,0:title,从平凡走向辉煌,95560
FB-P164,part_001_200,163,164,mapped,1:text,程的机会。,96293
FB-P165,part_001_200,164,165,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,96808
FB-P166,part_001_200,165,166,mapped,1:title,李秉哲、郑周永在半导体业的较量,96808
FB-P167,part_001_200,166,167,mapped,0:title,从平凡走向辉煌,97310
FB-P168,part_001_200,167,168,mapped,3:text,在 1982 年销售额不过是菲利普公司的 25%，可是到了 1995 年，三星的销售额达到了 500 亿美元，是菲利普的两倍。三星最核心的企业就是半导体和电子。,98097
FB-P169,part_001_200,168,169,mapped,0:title,从平凡走向辉煌,98788
FB-P170,part_001_200,169,170,mapped,3:text,李秉哲认为日本的大规模生产体系非常有利。日本能做的话，韩国也肯定可以做得到。韩国人的手工技术决不次于日本人。,99537
FB-P171,part_001_200,170,171,mapped,2:text,当时李秉哲会长拿着电话大喊：,100195
FB-P172,part_001_200,171,172,mapped,2:text,了10个月。,100820
FB-P173,part_001_200,172,173,mapped,0:title,从平凡走向辉煌,101507
FB-P174,part_001_200,173,174,mapped,2:text,巨大力量。,102177
FB-P175,part_001_200,174,175,mapped,0:title,从平凡走向辉煌,102809
FB-P176,part_001_200,175,176,mapped,2:text,现在韩国的半导体技术已经达到了生产 4G 半导体的水平：在头发丝 800 分之一的厚度上，储存高达 400 层楼的 200 字稿纸的内容。,103552
FB-P177,part_001_200,176,177,mapped,0:text,"The OCR result should be empty, as the image contains only a stylistic horizonta",103623
FB-P178,part_001_200,177,178,mapped,0:title,19 对属下的爱与培养,103807
FB-P179,part_001_200,178,179,mapped,0:title,从平凡走向辉煌,104316
FB-P180,part_001_200,179,180,mapped,1:text,“立即把金润圭等现代所有受伤的职员接回首尔，到首尔中央医院接受治疗。”,104934
FB-P181,part_001_200,180,181,mapped,0:text,从平凡走向辉煌,105606
FB-P182,part_001_200,181,182,mapped,3:text,接着他说出了几点非偷漏税不可的理由。从当时的税率来看，法人税是35%，企业所得税是15%，产品税方面，以化纤为例是30%，以外再加上营业税、附加税，等等，合在一,106447
FB-P183,part_001_200,182,183,mapped,0:title,从平凡走向辉煌,107042
FB-P184,part_001_200,183,184,mapped,0:title,20 优秀的企业家具有识人的慧眼,107721
FB-P185,part_001_200,184,185,mapped,0:title,从平凡走向辉煌,108196
FB-P186,part_001_200,185,186,mapped,3:text,李秉哲不仅退回了那位职员的辞职信，还提升了他的职位。,108989
FB-P187,part_001_200,186,187,mapped,0:title,从平凡走向辉煌,109603
FB-P188,part_001_200,187,188,mapped,0:title,21 信任与考察,109775
FB-P189,part_001_200,188,189,mapped,0:title,从平凡走向辉煌,110182
FB-P190,part_001_200,189,190,mapped,1:text,“谁让你就这么回来的？”,110825
FB-P191,part_001_200,190,191,mapped,1:text,山麓上吧。”,111421
FB-P192,part_001_200,191,192,mapped,0:title,22 玩出名堂,112060
FB-P193,part_001_200,192,193,mapped,0:title,从平凡走向辉煌,112534
FB-P194,part_001_200,193,194,mapped,1:text,奔原州①朴景利的家。,113180
FB-P195,part_001_200,194,195,mapped,0:title,从平凡走向辉煌,113843
FB-P196,part_001_200,195,196,mapped,1:text,这幅画回归韩国之后在国内引起了巨大反响，被认为是韩国国内佛画中价值最高的一幅，被指定为韩国国宝第218号。,114473
FB-P197,part_001_200,196,197,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,115170
FB-P198,part_001_200,197,198,mapped,0:title,23 正规的高尔夫和红色的高尔夫,115170
FB-P199,part_001_200,198,199,mapped,0:title,从平凡走向辉煌,115608
FB-P200,part_001_200,199,200,mapped,3:text,李秉哲在打高尔夫球的时候只记得两件事。一个是那天打得最好的一杆球和打得最不好的一杆球。打得好，为什么打得好？打得不好，为什么会那样？他为了研究个中的原因所以才记,116458
FB-P201,part_201_243,0,201,part-start,,0,0
FB-P202,part_201_243,1,202,mapped,1:text,李秉哲、李健熙父子后来资助了一名叫朴世莉的女高尔夫球选手，这名选手在世界大赛上多次获得大奖。,758
FB-P203,part_201_243,2,203,mapped,0:title,从平凡走向辉煌,1441
FB-P204,part_201_243,3,204,mapped,0:title,24 李秉哲和郑周永的节俭,2122
FB-P205,part_201_243,4,205,mapped,0:title,从平凡走向辉煌,2605
FB-P206,part_201_243,5,206,mapped,2:text,人们如果听说了郑周永皮鞋的故事，就知道他在成为财阀之后的日子是何等节俭。,3274
FB-P207,part_201_243,6,207,mapped,0:title,从平凡走向辉煌,3942
FB-P208,part_201_243,7,208,mapped,3:text,第一毛纺把任务交给了李光夏，马上开始着手准备。李光夏自1968年进入公司，20年来始终从事羊毛鉴别选定工作，堪称这个领域的第一人。,4608
FB-P209,part_201_243,8,209,mapped,0:title,从平凡走向辉煌,5303
FB-P210,part_201_243,9,210,mapped,0:title,25 两位巨人的最后时日,5623
FB-P211,part_201_243,10,211,mapped,0:title,从平凡走向辉煌,6044
FB-P212,part_201_243,11,212,mapped,2:text,李秉哲头脑中，认为如果想要成为企业家，首先要态度端正，品行端正。这也是李秉哲亲自教授孙子们《论语》的原因。,6884
FB-P213,part_201_243,12,213,mapped,0:title,从平凡走向辉煌,7561
FB-P214,part_201_243,13,214,mapped,2:text,离开安阳高尔夫球场20天后，1987年11月19日，李秉哲走完了77年的人生道路。他经营企业长达50年。由他直接建立或收购的企业有“第一制糖”（1953年），“,8418
FB-P215,part_201_243,14,215,mapped,2:text,当时以李秉哲为首的三星上层们得出的结论是：需要时间的推移才能够打败味元。也就是说，打败“味元”不是当代能够实现的。“味风”想要打赢“味元”，需要现在上小学的孩子,9147
FB-P216,part_201_243,15,216,mapped,1:text,希望经营规模适中的公司，我决定尊重他本人的选择。”,9771
FB-P217,part_201_243,16,217,mapped,0:title,从平凡走向辉煌,10489
FB-P218,part_201_243,17,218,mapped,1:text,随着两国外交正常化，郑周永担任了韩苏经纪人协会会长一职，积极开展开发远东西伯利亚地区的天然气油田。,11205
FB-P219,part_201_243,18,219,mapped,0:title,从平凡走向辉煌,11890
FB-P220,part_201_243,19,220,mapped,2:text,李明博头脑中会浮现在那拉提瓦高速公路工程的一幕幕，朴世勇会浮现出为准备朱拜勒港工程竞标材料一个星期连澡都不能洗的艰难历程。金润圭会想起来郑周永前来探望他，“你毫,12694
FB-P221,part_201_243,20,221,mapped,0:title,从平凡走向辉煌,13221
FB-P222,part_201_243,21,222,mapped,0:title,26 王子之乱和接班人们,13747
FB-P223,part_201_243,22,223,mapped,0:title,从平凡走向辉煌,14150
FB-P224,part_201_243,23,224,mapped,1:text,会长，其弟郑梦一则担任该公司的社长。,14928
FB-P225,part_201_243,24,225,mapped,0:title,从平凡走向辉煌,15635
FB-P226,part_201_243,25,226,mapped,2:text,现在他所做的事情主要有以下三件：,16510
FB-P227,part_201_243,26,227,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,17128
FB-P228,part_201_243,27,228,mapped,0:title,27 王国的功臣们,17128
FB-P229,part_201_243,28,229,mapped,0:title,从平凡走向辉煌,17575
FB-P230,part_201_243,29,230,mapped,2:text,虽然三星生命是比较晚才进入的保险业界，不过在李洙彬会长这样典型的三星经营专家的带领下，其业绩迅速攀升到了第一位。,18382
FB-P231,part_201_243,30,231,mapped,0:title,从平凡走向辉煌,19045
FB-P232,part_201_243,31,232,mapped,2:text,1964 年他跳槽到东洋广播，在那里他第一次接触到电视播放设备，按照李秉哲会长的指示，他从 1973 年开始负责三星电子，并在新的岗位上充分发挥了自己的经营才干,19903
FB-P233,part_201_243,32,233,mapped,0:title,从平凡走向辉煌,20542
FB-P234,part_201_243,33,234,mapped,2:text,郑周永会长的旧臣主要是后来投身政界的李明博为首的李来炘（66岁）、沈铉荣（62岁）、朴世勇（61岁）、金润圭（56岁）、李益治（56岁）、李炳规（47岁）。这些,21356
FB-P235,part_201_243,34,235,mapped,0:title,从平凡走向辉煌,22061
FB-P236,part_201_243,35,236,mapped,1:text,郑梦九和郑梦宪两兄弟也承认，李炳规比他们更了解父亲的心理。郑周永会长在去世前夕还曾与李炳规共进午餐。他的嘴很严，而且头脑敏捷，英语也说得十分流利。,22778
FB-P237,part_201_243,36,237,mapped,0:text,"The OCR result should be empty, as the image contains only a stylistic horizonta",22916
FB-P238,part_201_243,37,238,mapped,0:title,28 巨人的时代结束后,23100
FB-P239,part_201_243,38,239,mapped,0:title,从平凡走向辉煌,23563
FB-P240,part_201_243,39,240,mapped,3:text,Qiji,24307
FB-P241,part_201_243,40,241,mapped,0:text,第三，即使在看起来不可能的情况下，他们也能想出好的点子，从而达成自己的目标。,24689
FB-P242,part_201_243,41,242,mapped,1:text,第五，郑周永和李秉哲都善于应对时代的变化，能够跟上时代的潮流。,25419
FB-P243,part_201_243,42,243,mapped,0:text,Document generated by Anna's Archive around 2023-2024 as part of the DuXiu colle,25866
